+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
|     1571432323 | 2019-10-18 13:58:43 | en   | 19oct18b_AC41_3_00023gr_00001sq_v02_00002hl_2_v01_00005en      | -4.77041735693829e-09 |  3.52960707668557e-06 |
|     1571432474 | 2019-10-18 14:01:14 | en   | 19oct18b_AC41_3_00023gr_00002sq_v02_00002hl_2_v01_00002en      |  1.53851621103356e-06 | -2.03816737534181e-06 |
|     1571432563 | 2019-10-18 14:02:43 | en   | 19oct18b_AC41_3_00023gr_00002sq_v02_00002hl_2_v01_00003en      |  3.94004186842716e-06 |  1.53748696938599e-06 |
|     1571432651 | 2019-10-18 14:04:11 | en   | 19oct18b_AC41_3_00023gr_00002sq_v02_00002hl_2_v01_00004en      |  6.98390738644505e-07 |  4.09659015284966e-06 |
|     1571432805 | 2019-10-18 14:06:45 | en   | 19oct18b_AC41_3_00023gr_00003sq_v02_00002hl_2_v01_00002en      |  1.40037905225641e-06 |   -3.861228520419e-06 |
|     1571432900 | 2019-10-18 14:08:20 | en   | 19oct18b_AC41_3_00023gr_00003sq_v02_00002hl_2_v01_00003en      |   6.4756174244644e-07 |  2.12555796756615e-06 |
|     1571432989 | 2019-10-18 14:09:49 | en   | 19oct18b_AC41_3_00023gr_00003sq_v02_00002hl_2_v01_00004en      | -1.81449982031227e-06 | -1.56215390739087e-06 |
|     1571433142 | 2019-10-18 14:12:22 | en   | 19oct18b_AC41_3_00023gr_00004sq_v02_00002hl_2_v01_00002en      |  1.32978762351067e-06 |  -2.3793975421037e-06 |
|     1571433229 | 2019-10-18 14:13:49 | en   | 19oct18b_AC41_3_00023gr_00004sq_v02_00002hl_2_v01_00003en      |  4.23065344333276e-06 |  9.96487610779594e-07 |
|     1571433317 | 2019-10-18 14:15:17 | en   | 19oct18b_AC41_3_00023gr_00004sq_v02_00002hl_2_v01_00004en      |  2.60437695934705e-07 |  3.58166205851161e-06 |
|     1571465524 | 2019-10-18 23:12:04 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00002en | -2.60824089587609e-06 | -4.98741108861652e-06 |
|     1571465601 | 2019-10-18 23:13:21 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00003en |  3.11191582012458e-06 | -1.14343737936861e-06 |
|     1571465682 | 2019-10-18 23:14:42 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00004en |  4.03567534087556e-06 | -1.61532110394055e-06 |
|     1571465763 | 2019-10-18 23:16:03 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00005en |  4.75970980913878e-06 | -8.22371363755325e-07 |
|     1571465844 | 2019-10-18 23:17:24 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00006en |   3.8099108974075e-06 | -2.47581260091343e-07 |
|     1571465925 | 2019-10-18 23:18:45 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00007en | -1.59332086700937e-06 | -3.44535726408051e-07 |
|     1571466004 | 2019-10-18 23:20:04 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00008en | -1.08732332402712e-06 |  6.16068375013758e-07 |
|     1571466114 | 2019-10-18 23:21:54 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00009en | -2.01454611751322e-06 |  1.22159229052976e-06 |
|     1571466164 | 2019-10-18 23:22:44 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00010en | -2.59186823991623e-06 |  1.78714800888458e-07 |
|     1571466243 | 2019-10-18 23:24:03 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00011en |  7.94886768260422e-07 |  2.58544999415655e-06 |
|     1571466322 | 2019-10-18 23:25:22 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00012en |  1.82306975683279e-06 |  1.94936504043142e-06 |
|     1571466402 | 2019-10-18 23:26:42 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00013en |  2.52106483411572e-06 |  2.84522115970869e-06 |
|     1571466482 | 2019-10-18 23:28:02 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00014en |  1.67136029928693e-06 |  3.42286027289956e-06 |
|     1571466562 | 2019-10-18 23:29:22 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00015en |  5.73748406766744e-06 | -3.89393667012631e-06 |
|     1571466643 | 2019-10-18 23:30:43 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00016en |  2.67519457632648e-07 | -2.31771251375817e-06 |
|     1571466723 | 2019-10-18 23:32:03 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00017en |  1.07406929623883e-06 | -2.77621505891014e-06 |
|     1571466803 | 2019-10-18 23:33:23 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00018en |  4.66112788036426e-07 |  -3.7965602179943e-06 |
|     1571466883 | 2019-10-18 23:34:43 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v02_00002hl_2_v01_00019en |  -4.7909112887575e-07 | -3.14139606579542e-06 |
|     1571467250 | 2019-10-18 23:40:50 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00002en | -1.77242436601287e-06 | -2.31709766296981e-06 |
|     1571467329 | 2019-10-18 23:42:09 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00003en | -8.30816673785903e-07 | -2.96233376783212e-06 |
|     1571467408 | 2019-10-18 23:43:28 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00004en | -1.88895458999091e-07 | -2.22187327385666e-06 |
|     1571467488 | 2019-10-18 23:44:48 | en   | 19oct18b_AC39_3_good_00039gr_00001sq_v03_00003hl_2_v01_00005en | -8.84562246647131e-07 | -1.79030586118753e-06 |
